length,block_length,num_runs,latency_mean_s,latency_p50_s,latency_p90_s,latency_min_s,latency_max_s,slots_per_second_mean,slots_per_second_p50,nfe_mean,nfe_min,nfe_max,max_mps_driver_gib
64,32,36,6.372391713000575,6.367320770499646,6.409775771491695,6.293354374996852,6.455722000013338,10.043590531303984,10.05132339731674,64,64,64,16.246002197265625
128,32,36,17.863954258056765,17.85743102048582,17.930215416505234,17.780291917006252,18.005787292000605,7.165324013878396,7.167884511069461,128,128,128,16.21087646484375
64,16,36,6.301497494168062,6.2977461670088815,6.377169625004171,6.177240624994738,6.409102499979781,10.156951525922649,10.162365855829496,64,64,64,16.25384521484375
64,64,36,7.234374661972753,7.230722353982856,7.270810458503547,7.183088290999876,7.303922249993775,8.846761231465955,8.85112124722509,64,64,64,16.238174438476562
128,16,36,17.96109951844523,17.949204478994943,18.072770770508214,17.82502604200272,18.154665958019905,7.126633283257934,7.131235267848604,128,128,128,16.2109375
128,64,36,19.78444504410921,19.780840999999782,19.832141604507342,19.697748792008497,19.89282345797983,6.469758953205966,6.470907889485219,128,128,128,16.206939697265625
256,16,36,57.913934890083816,57.90953310448094,58.027600104003795,57.758344499976374,58.119135167013155,4.420360484284462,4.420688378638438,256,256,256,18.3673095703125
256,32,36,56.865871986138195,56.852311062510125,56.968126020990894,56.73059975000797,57.065540666983,4.501830324615085,4.502895554671644,256,256,256,17.3671875
256,64,36,59.681242600750316,59.68174947951047,59.7386037704855,59.55656062500202,59.84850758401444,4.289459692150125,4.2894186040992,256,256,256,17.36712646484375
512,16,36,201.748219069526,201.696080458496,202.36018968748976,200.95709595899098,202.6775868749828,2.5378258412468133,2.538472732613094,512,512,512,20.123550415039062
512,32,36,198.11290365624882,198.473948041501,199.10710658298922,196.83632825000677,199.44718616700266,2.584425943993818,2.5796837315145735,512,512,512,20.0606689453125
512,64,36,200.44663689233246,200.3791195624999,201.1865675625013,199.76068041700637,201.20116866697208,2.554318032593994,2.555156713206057,512,512,512,20.113235473632812
