threshold,latency_seconds,generated_tokens,tokens_per_second,nfe,nfe_reduction_vs_256,flexible_exact_match,strict_exact_match,result_file,log_file
0.80,27.542010068893433,255,9.258584022521973,89,0.65234375,1.0,1.0,/Users/z33/Fast-dLLM/results/dual_parallel_threshold_20260720_151716/threshold_0p80/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-17-54.203774.json,/Users/z33/Fast-dLLM/logs/dual_parallel_threshold_20260720_151716/threshold_0p80.log
0.85,28.197782039642334,255,9.043264389038086,92,0.640625,1.0,1.0,/Users/z33/Fast-dLLM/results/dual_parallel_threshold_20260720_151716/threshold_0p85/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-18-32.792520.json,/Users/z33/Fast-dLLM/logs/dual_parallel_threshold_20260720_151716/threshold_0p85.log
0.90,31.77728581428528,255,8.0246000289917,113,0.55859375,1.0,1.0,/Users/z33/Fast-dLLM/results/dual_parallel_threshold_20260720_151716/threshold_0p90/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-19-14.985954.json,/Users/z33/Fast-dLLM/logs/dual_parallel_threshold_20260720_151716/threshold_0p90.log
0.95,34.366628885269165,255,7.419988632202148,128,0.5,1.0,1.0,/Users/z33/Fast-dLLM/results/dual_parallel_threshold_20260720_151716/threshold_0p95/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-19-59.886339.json,/Users/z33/Fast-dLLM/logs/dual_parallel_threshold_20260720_151716/threshold_0p95.log
