length,block_length,num_runs,latency_mean_s,latency_p50_s,latency_p90_s,latency_min_s,latency_max_s,slots_per_second_mean,slots_per_second_p50,nfe_mean,nfe_min,nfe_max,max_mps_driver_gib
64,32,36,11.38966032872223,11.381344270500449,12.208275353999852,9.786333707999802,12.296024499999476,5.634862827515843,5.623241682372426,64,64,64,16.065322875976562
128,32,36,31.690978945638918,31.493308833500123,33.09821875000034,30.483778665999125,33.36207325000032,4.041172780965205,4.064366922551497,128,128,128,16.076065063476562
