threshold,latency_seconds,generated_tokens,tokens_per_second,nfe,nfe_reduction_vs_256,flexible_exact_match,strict_exact_match,result_file,log_file
0.80,123.93819904327393,241,1.9445174932479858,74,0.7109375,1.0,1.0,/Users/z33/Fast-dLLM/results/parallel_threshold_20260720_145705/threshold_0p80/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T14-59-19.784845.json,/Users/z33/Fast-dLLM/logs/parallel_threshold_20260720_145705/threshold_0p80.log
0.85,150.66358923912048,241,1.5995901823043823,90,0.6484375,1.0,1.0,/Users/z33/Fast-dLLM/results/parallel_threshold_20260720_145705/threshold_0p85/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-02-01.002860.json,/Users/z33/Fast-dLLM/logs/parallel_threshold_20260720_145705/threshold_0p85.log
0.90,175.96565699577332,234,1.3298050165176392,105,0.58984375,1.0,1.0,/Users/z33/Fast-dLLM/results/parallel_threshold_20260720_145705/threshold_0p90/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-05-07.544575.json,/Users/z33/Fast-dLLM/logs/parallel_threshold_20260720_145705/threshold_0p90.log
0.95,209.37220191955566,236,1.1271792650222778,125,0.51171875,1.0,0.0,/Users/z33/Fast-dLLM/results/parallel_threshold_20260720_145705/threshold_0p95/__Users__z33__models__LLaDA-8B-Instruct/results_2026-07-20T15-08-47.539246.json,/Users/z33/Fast-dLLM/logs/parallel_threshold_20260720_145705/threshold_0p95.log
