m,serial_7_gemm_ms,sum_individual_ms,serial_over_sum,serial_tflops,effective_weight_gbps,p1_block_layer_ms,gemm_share_of_p1_pct,estimated_non_gemm_ms,serial_raw_ms
32,2.041041967459023,3.45558300614357,0.5906505396716908,6.838979273599988,213.71810229999966,2.366914062804426,86.23219573256094,0.32587209534540307,"[2.041041967459023, 2.036666963249445, 2.0417089690454304, 2.034416946116835, 2.0487919682636857, 2.037875005044043, 2.0335419685579836, 2.0380839705467224, 2.057208970654756, 2.1099589648656547, 2.049667004030198, 2.0490409806370735, 2.134750015102327, 2.040332998149097, 2.02791701303795]"
64,2.8113750158809125,4.887499031610787,0.5752175085248784,9.930118631025977,155.15810360978088,3.3413789060432464,84.13816855060155,0.5300038901623338,"[2.867540984880179, 2.884208981413394, 2.811458020005375, 2.891041978728026, 2.8464579954743385, 2.7762919780798256, 2.884750021621585, 2.789666992612183, 2.8113750158809125, 2.802416041959077, 2.804166986607015, 2.7816249639727175, 2.83370801480487, 2.7982910396531224, 2.7885829913429916]"
128,4.994458984583616,8.424374042078853,0.5928581707835887,11.179303908660465,87.33831178640989,5.844608094776049,85.45412974819814,0.850149110192433,"[4.98945900471881, 4.979457997251302, 4.96962497709319, 4.994458984583616, 5.036999995354563, 4.987541993614286, 4.97262499993667, 5.033124994952232, 5.037833994720131, 4.983709019143134, 5.0362920155748725, 4.994791001081467, 5.000374978408217, 5.128165998030454, 4.9722089897841215]"
256,8.947624999564141,10.257707035634667,0.872283149487563,12.480311781220117,48.751217895391086,,,,"[8.956832985859364, 8.943291031755507, 8.950125018600374, 8.947624999564141, 8.955749974120408, 8.957459009252489, 8.950749994255602, 8.932834025472403, 8.9431669912301, 8.957166981417686, 8.945290988776833, 8.9265420101583, 8.952250005677342, 8.936750004068017, 8.946417015977204]"
1331,41.251374990679324,42.440002027433366,0.9719927667301781,14.074496596227005,10.574377607984228,,,,"[42.168290994595736, 41.388124984223396, 41.277832991909236, 41.17108299396932, 41.251374990679324, 41.15875001298264, 41.14154196577147, 41.12966696266085, 41.24895797576755, 40.978250035550445, 41.2679590517655, 41.95733298547566, 41.947374993469566, 41.319915966596454, 41.16245801560581]"
